feature,SL_mean,FC_mean,mean_diff,cohens_d,p_value,significant
normalized_spin_axis,99.276285596223,155.4585871215504,56.182301525327404,1.5550421715847849,0.0,***
velocity_times_pfx_z,11.742197096913165,57.263153630436726,45.52095653352356,1.5273037039539998,0.0,***
pfx_z_minus_abs_pfx_x,-0.31360248283380665,0.35693721532553363,0.6705396981593403,1.4103990597543286,0.0,***
movement_angle,18.995964092950906,67.65546982066311,48.65950572771221,1.214524393415179,0.0,***
abs_horizontal_movement,0.4487963882856666,0.2799737429668661,0.16882264531880048,0.6340835749570969,0.0,***
spin_efficiency,0.2450285032744474,0.3141729937851124,0.06914449051066499,0.5680239988661997,0.0,***
movement_magnitude,0.5899279153176623,0.7477120985377776,0.15778418322011534,0.5316013587258691,0.0,***
speed_spin_ratio,3.6001354153751404,3.7605788287110666,0.16044341333592627,0.42295087882875465,0.0,***
velocity_abs_pfx_x_ratio,236.51335743068324,309.05568468715506,72.54232725647182,0.41651213635851175,0.0,***
horizontal_vertical_ratio,5.66059275590253,0.95266688966212,4.70792586624041,0.11355643644162057,1.99729464247461e-63,***
release_position_magnitude,6.142234352175092,6.169892750403394,0.02765839822830163,0.06833496386861758,4.88720769192489e-38,***
